OriginalName,ExperimentID,Treatment,Time,Fraction,Replicate
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_03k_Rep_2,OS-0006,DMSO,30min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_05k_Rep_2,OS-0006,DMSO,30min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_12k_Rep_2,OS-0006,DMSO,30min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_24k_Rep_2,OS-0006,DMSO,30min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_30min_79k_Rep_2,OS-0006,DMSO,30min,79k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_03k_Rep_2,OS-0006,DMSO,60min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_05k_Rep_2,OS-0006,DMSO,60min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_12k_Rep_2,OS-0006,DMSO,60min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_24k_Rep_2,OS-0006,DMSO,60min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_60min_79k_Rep_2,OS-0006,DMSO,60min,79k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_03k_Rep_2,OS-0006,DMSO,90min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_05k_Rep_2,OS-0006,DMSO,90min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_12k_Rep_2,OS-0006,DMSO,90min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_24k_Rep_2,OS-0006,DMSO,90min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_DMSO_90min_79k_Rep_2,OS-0006,DMSO,90min,79k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_03k_Rep_2,OS-0006,diABZI,30min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_05k_Rep_2,OS-0006,diABZI,30min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_12k_Rep_2,OS-0006,diABZI,30min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_24k_Rep_2,OS-0006,diABZI,30min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_30min_79k_Rep_2,OS-0006,diABZI,30min,79k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_03k_Rep_2,OS-0006,diABZI,60min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_05k_Rep_2,OS-0006,diABZI,60min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_12k_Rep_2,OS-0006,diABZI,60min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_24k_Rep_2,OS-0006,diABZI,60min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_60min_79k_Rep_2,OS-0006,diABZI,60min,79k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_03k_Rep_2,OS-0006,diABZI,90min,03k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_05k_Rep_2,OS-0006,diABZI,90min,05k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_12k_Rep_2,OS-0006,diABZI,90min,12k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_24k_Rep_2,OS-0006,diABZI,90min,24k,9
20221206_E1_EasyLC2_ColID_BN042_OS-0006_50cm_diABZI_90min_79k_Rep_2,OS-0006,diABZI,90min,79k,9